Library,,#,Title,Abstract,Palavra-Chaves,CIs1,CEs1,Revisor 1,CIs2,CEs2,Revisor 2,Decision
ACM Digital Library,441,53,Toward an Objective Measure of Developers’ Cognitive Activities,"Understanding how developers carry out different computer science activities with objective measures can help to improve productivity and guide the use and development of supporting tools in software engineering. In this article, we present two controlled experiments involving 112 students to explore multiple computing activities (code comprehension, code review, and data structure manipulations) using three different objective measures including neuroimaging (functional near-infrared spectroscopy (fNIRS) and functional magnetic resonance imaging (fMRI)) and eye tracking. By examining code review and prose review using fMRI, we find that the neural representations of programming languages vs. natural languages are distinct. We can classify which task a participant is undertaking based solely on brain activity, and those task distinctions are modulated by expertise. We leverage insights from the psychological notion of spatial ability to decode the neural representations of several fundamental data structures and their manipulations using fMRI, fNIRS, and eye tracking. We examine list, array, tree, and mental rotation tasks and find that data structure and spatial operations use the same focal regions of the brain but to different degrees: they are related but distinct neural tasks. We demonstrate best practices and describe the implication and tradeoffs between fMRI, fNIRS, eye tracking, and self-reporting for software engineering research.",Neuroimaging; code comprehension; data structures; eye tracking; prose review,,EC5,NO,,,,
ACM Digital Library,516,54,"Gene Expressions, Hippocampal Volume Loss, and MMSE Scores in Computation of Progression and Pharmacologic Therapy Effects for Alzheimer's Disease","We build personalized relevance parameterization method (&lt;sc&gt;pr&lt;/sc&gt;e&lt;sc&gt;p-ad&lt;/sc&gt;) based on artificial intelligence (&lt;sc&gt;ai&lt;/sc&gt;) techniques to compute Alzheimer's disease (&lt;sc&gt;ad&lt;/sc&gt;) progression for patients at the mild cognitive impairment (&lt;sc&gt;mci&lt;/sc&gt;) stage. Expressions of &lt;sc&gt;ad&lt;/sc&gt; related genes, mini mental state examination (&lt;sc&gt;mmse&lt;/sc&gt;) scores, and hippocampal volume measurements of &lt;sc&gt;mci&lt;/sc&gt; patients are obtained from the Alzheimer‘s Disease Neuroimaging Initiative (&lt;sc&gt;adni&lt;/sc&gt;) database. In evaluation of cognitive changes under pharmacological therapies, patients are grouped based on available clinical measurements and the type of therapy administered, namely donepezil monotherapy and polytherapy of donepezil with memantine. Average leave one out cross validation (&lt;sc&gt;loocv&lt;/sc&gt;) error rates are calculated for &lt;sc&gt;pr&lt;/sc&gt;e&lt;sc&gt;p-ad&lt;/sc&gt; results as less than 8 percent when &lt;sc&gt;mmse&lt;/sc&gt; scores are used to compute disease progression for a 60 month period, and 3 percent with hippocampal volume measurements for 12 months. Statistical significance is calculated as &lt;inline-formula&gt;&lt;tex-math notation=""LaTeX""&gt;$p = 0.003$&lt;/tex-math&gt;&lt;alternatives&gt;&lt;mml:math&gt;&lt;mml:mrow&gt;&lt;mml:mi&gt;p&lt;/mml:mi&gt;&lt;mml:mo&gt;=&lt;/mml:mo&gt;&lt;mml:mn&gt;0&lt;/mml:mn&gt;&lt;mml:mo&gt;.&lt;/mml:mo&gt;&lt;mml:mn&gt;003&lt;/mml:mn&gt;&lt;/mml:mrow&gt;&lt;/mml:math&gt;&lt;inline-graphic xlink:href=""saribudak-ieq1-2870363.gif""/&gt;&lt;/alternatives&gt;&lt;/inline-formula&gt; for using &lt;sc&gt;ad&lt;/sc&gt; related genes in disease progression and as &lt;inline-formula&gt;&lt;tex-math notation=""LaTeX""&gt;$p &lt; 0.05$&lt;/tex-math&gt;&lt;alternatives&gt;&lt;mml:math&gt;&lt;mml:mrow&gt;&lt;mml:mi&gt;p&lt;/mml:mi&gt;&lt;mml:mo&gt;&lt;&lt;/mml:mo&gt;&lt;mml:mn&gt;0&lt;/mml:mn&gt;&lt;mml:mo&gt;.&lt;/mml:mo&gt;&lt;mml:mn&gt;05&lt;/mml:mn&gt;&lt;/mml:mrow&gt;&lt;/mml:math&gt;&lt;inline-graphic xlink:href=""saribudak-ieq2-2870363.gif""/&gt;&lt;/alternatives&gt;&lt;/inline-formula&gt; for the results computed by &lt;sc&gt;pr&lt;/sc&gt;e&lt;sc&gt;p-ad&lt;/sc&gt;. These relatively small average &lt;sc&gt;loocv&lt;/sc&gt; errors and &lt;inline-formula&gt;&lt;tex-math notation=""LaTeX""&gt;$p$&lt;/tex-math&gt;&lt;alternatives&gt;&lt;mml:math&gt;&lt;mml:mi&gt;p&lt;/mml:mi&gt;&lt;/mml:math&gt;&lt;inline-graphic xlink:href=""saribudak-ieq3-2870363.gif""/&gt;&lt;/alternatives&gt;&lt;/inline-formula&gt;-values suggest that our &lt;sc&gt;pr&lt;/sc&gt;e&lt;sc&gt;p-ad&lt;/sc&gt; methods employing gene expressions, &lt;sc&gt;mmse&lt;/sc&gt; scores and hippocampal volume loss measurements can be useful in supporting pharmacologic therapy decisions during early stages of &lt;sc&gt;ad&lt;/sc&gt;.",,,EC5,NO,,,,
ACM Digital Library,523,55,Eliminating Backdoors in Neural Code Models for Secure Code Understanding,"Neural code models (NCMs) have been widely used to address various code understanding tasks, such as defect detection. However, numerous recent studies reveal that such models are vulnerable to backdoor attacks. Backdoored NCMs function normally on normal/clean code snippets, but exhibit adversary-expected behavior on poisoned code snippets injected with the adversary-crafted trigger. It poses a significant security threat. For example, a backdoored defect detection model may misclassify user-submitted defective code as non-defective. If this insecure code is then integrated into critical systems, like autonomous driving systems, it could jeopardize life safety. Therefore, there is an urgent need for effective techniques to detect and eliminate backdoors stealthily implanted in NCMs. To address this issue, in this paper, we innovatively propose a backdoor elimination technique for secure code understanding, called EliBadCode. EliBadCode eliminates backdoors in NCMs by inverting/reverse-engineering and unlearning backdoor triggers. Specifically, EliBadCode first filters the model vocabulary for trigger tokens based on the naming conventions of specific programming languages to reduce the trigger search space and cost. Then, EliBadCode introduces a sample-specific trigger position identification method, which can reduce the interference of non-backdoor (adversarial) perturbations for subsequent trigger inversion, thereby producing effective inverted backdoor triggers efficiently. Backdoor triggers can be viewed as backdoor (adversarial) perturbations. Subsequently, EliBadCode employs a Greedy Coordinate Gradient algorithm to optimize the inverted trigger and designs a trigger anchoring method to purify the inverted trigger. Finally, EliBadCode eliminates backdoors through model unlearning. We evaluate the effectiveness of in eliminating backdoors implanted in multiple NCMs used for three safety-critical code understanding tasks. The results demonstrate that EliBadCode can effectively eliminate backdoors while having minimal adverse effects on the normal functionality of the model. For instance, on defect detection tasks, EliBadCode substantially decreases the average Attack Success Rate (ASR) of the advanced backdoor attack from 99.76% to 2.64%, significantly outperforming the three baselines. The clean model produced by EliBadCode exhibits an average decrease in defect prediction accuracy of only 0.01% (the same as the baseline).",Backdoor Defense; Neural Code Models; Trigger Inversion,,EC5,NO,,,,
ACM Digital Library,547,56,CNCFuzzer: Directed Blackbox Fuzzing of Computer Numerical Control System Based on Message Behaviour Guidance,"In the era of the Industrial Internet of Things, Computer Numerical Control (CNC) Systems are confronted with a pervasive threat from attackers. Uncovering their security vulnerabilities before being exploited becomes imperative. Enterprise-level CNC devices often pose significant challenges in obtaining firmware, limiting vulnerability analysis to black-box fuzzing. However, the communication protocols used by CNC devices are characterized by heterogeneity, complexity, and proprietary formats. This inherent complexity not only makes it difficult to build high-quality test cases, but also significantly exceeds the search space of traditional black-box fuzzing methods, thus reducing their efficiency and effectiveness. In this paper, we propose CNCFuzzer, a directed black-box fuzzing approach based on message behaviour guidance. The insights of CNCFuzzer are that if a communication Application Programming Interface (API) is high-risk, the probability that other communication APIs with similar behaviour are high-risk increases. Firstly, we design a black-box directed fuzzing method based on the similarity of the behaviour of machining messages. The key to this solution is that we design graphs of message behaviour as the maps for directed fuzzing. Then, a Transformer-based seq2seq model is employed to train a proprietary protocol traffic generator, which generates high-quality test cases that meet protocol formats. Finally, We design a cyber-physical fusion monitor, which observes the current and voltage of the controllers to monitor the vulnerability of CNC devices and proactive network requests to distinguish the functional command injection and memory corruption. We have implemented CNCFuzzer and evaluated it on 6 enterprise-level CNC devices from 3 brands. Results show that CNCFuzzer outperforms 5 existing black-box fuzzing tools and identified 63 previously unknown vulnerabilities, including 30 memory corruption and 33 functional command injection.",Cyber-Physical System; Directed Black-box Fuzzing; Proprietary Protocols; Vulnerabilities,,EC5,NO,,,,
ACM Digital Library,548,57,Survey on Factuality in Large Language Models,"This survey addresses the crucial issue of factuality in Large Language Models (LLMs). As LLMs find applications across diverse domains, the reliability and accuracy of their outputs become vital. We define the “factuality issue” as the probability of LLMs to produce content inconsistent with established facts. We first delve into the implications of these inaccuracies. Subsequently, we analyze the mechanisms through which LLMs store and process facts, seeking the primary causes of factual errors. Our discussion then transitions to methodologies for evaluating LLM factuality, emphasizing key metrics, benchmarks, and studies. We further explore strategies for enhancing LLM factuality. Our survey offers a structured guide for researchers aiming to fortify the factual reliability of LLMs. We consistently maintain and update the related open-source materials at .",Factuality; large language models; knowledge; retrieval augmentation,,EC5,NO,,,,
ACM Digital Library,554,58,An Empirical Study on Challenges of Event Management in Microservice Architectures,"Microservices emerged as a popular architectural style over the last decade. Although designed to be self-contained, microservices must communicate to realize business capabilities, creating dependencies among their data and functionalities. Developers then resort to asynchronous, event-based communication to fulfill such dependencies while reducing coupling. However, developers are often oblivious to the inherent challenges of the event-based communication paradigm, leading to pitfalls that ultimately prompt them to reconsider adopting microservices. To make matters worse, literature is scarce on the practices and challenges of designing, implementing, testing, monitoring, and troubleshooting event-based microservices.To fill this gap, this paper provides the first comprehensive characterization of event management practices and challenges in microservices, based on a repository mining study of over 8000 Stack Overflow questions. We find that developers encounter a gamut of problems, including handling large event payloads, modeling event schemas, auditing and debugging event flows, and managing event dependencies and ordering constraints, suggesting that current practices and technologies do not sufficiently serve developers. We review the state of the art and practice through the lens of unveiled challenges and provide actionable implications for developers, providers, and researchers. As a result, our study will support advancing event management solutions in microservices.",microservice; asynchronous; event; streams; pubsub; decoupling; event-driven architecture,,EC5,NO,,,,
ACM Digital Library,582,59,Agency and Amplification: A Comparison of Manual and Computational Thematic Analyses by Public Health Researchers,"Computational techniques offer a means to overcome the amplified complexity and resource-intensity of qualitative research on online communities. However, we lack an understanding of how these techniques are integrated by researchers in practice, and how to address concerns about researcher agency in the qualitative research process. To explore this gap, we deployed the Computational Thematic Analysis Toolkit to a team of public health researchers, and compared their analysis to a team working with traditional tools and methods. Each team independently conducted a thematic analysis of a corpus of comments from Canadian news sites to understand discourses around vaccine hesitancy. We then compared the analyses to investigate how computational techniques may have influenced their research process and outcomes. We found that the toolkit provided access to advanced computational techniques for researchers without programming expertise, facilitated their interaction and interpretation of the data, but also found that it influenced how they approached their thematic analysis.",thematic analysis; field deployment; computational methods; comparison; case study,,EC5,NO,,,,
ACM Digital Library,599,60,Cross-Lingual Topic Discovery From Multilingual Search Engine Query Log,"Today, major commercial search engines are operating in a multinational fashion to provide web search services for millions of users who compose search queries by different languages. Hence, the search engine query log, which serves as the backbone of many search engine applications, records millions of users’ search history in a wide spectrum of human languages and demonstrates a strong multilingual phenomenon. However, with its salience, the multilingual nature of a search engine query log is usually ignored by existing works, which usually consider query log entries of different languages as being orthogonal and independent. This kind of oversimplified assumption heavily distorts the underlying structure of web search data. In this article, we pioneer in recognition of the multilingual nature of a query log and make the first attempt to cross the language barrier in query logs. We propose a novel model named Cross-Lingual Query Log Topic Model (CL-QLTM) to analyze query logs from a cross-lingual perspective and derive the latent topics of web search data. The CL-QLTM comprehensively integrates web search data in different languages by collectively utilizing cross-lingual dictionaries, as well as the co-occurrence relations in the query log. In order to relieve the efficiency bottleneck of applying the CL-QLTM on voluminous query logs, we propose an efficient parameter inference algorithm based on the MapReduce computing paradigm. Both qualitative and quantitative experimental results show that the CL-QLTM is able to effectively derive cross-lingual topics from multilingual query logs and spawn a wide spectrum of new search engine applications.",query log; probabilistic topic model; Search engine,,EC5,NO,,,,
ACM Digital Library,642,61,Going Beyond Obscurity: Organizational Approaches to Data Anonymization,"Anonymization is viewed as a solution to over-exposure of personal information in a data-driven society. Yet how organizations apply anonymization techniques to data for regulatory, ethical or commercial reasons remains underexplored. We investigate how such measures are applied in organizations, asking whether anonymization practices are used, what approaches are considered practical and adequate, and how decisions are made to protect the privacy of data subjects while preserving analytical value. Our findings demonstrate that anonymization is applied to data far less pervasively than expected. Organizations that do employ anonymization often view their practices as sensitive and resort to anonymity by obscurity alongside technical means. Rather than being a purely technical question of applying the right algorithms, anonymization in practice is a complex socio-technical process that relies on multi-stakeholder collaborations. Organizational decision-making about appropriate approaches and the management of responsibility can result in workarounds necessary to negotiate the technical complexity.",anonymization; decision making; gdpr; located accountabilities; organizational practices; privacy,,EC5,NO,,,,
ACM Digital Library,698,62,Cost-Effective Conceptual Design for Information Extraction,"It is well established that extracting and annotating occurrences of entities in a collection of unstructured text documents with their concepts improves the effectiveness of answering queries over the collection. However, it is very resource intensive to create and maintain large annotated collections. Since the available resources of an enterprise are limited and/or its users may have urgent information needs, it may have to select only a subset of relevant concepts for extraction and annotation. We call this subset a conceptual design for the annotated collection. In this article, we introduce and formally define the problem of cost-effective conceptual design where, given a collection, a set of relevant concepts, and a fixed budget, one likes to find a conceptual design that most improves the effectiveness of answering queries over the collection. We provide efficient algorithms for special cases of the problem and prove it is generally NP-hard in the number of relevant concepts. We propose three efficient approximations to solve the problem: a greedy algorithm, an approximate popularity maximization (APM for short), and approximate annotation-benefit maximization (AAM for short). We show that, if there are no constraints regrading the overlap of concepts, APM is a fully polynomial time approximation scheme. We also prove that if the relevant concepts are mutually exclusive, the greedy algorithm delivers a constant approximation ratio if the concepts are equally costly, APM has a constant approximation ratio, and AAM is a fully polynomial-time approximation scheme. Our empirical results using a Wikipedia collection and a search engine query log validate the proposed formalization of the problem and show that APM and AAM efficiently compute conceptual designs. They also indicate that, in general, APM delivers the optimal conceptual designs if the relevant concepts are not mutually exclusive. Also, if the relevant concepts are mutually exclusive, the conceptual designs delivered by AAM improve the effectiveness of answering queries over the collection more than the solutions provided by APM.",information extraction; effective query answering; Conceptual design,,EC4; EC5,NO,,,,
ACM Digital Library,7,63,Exploring and Expanding GSE Education with Open Source Software Development,"Global software engineering (GSE) courses traditionally require cooperation between at least two universities so as to provide a distributed development environment to the students. In this study, we explore an alternative way to organize a global software engineering course where students work on open source software development (OSSD) projects rather than in a multi-university collaboration setting. The results show that the new setup may provide core GSE challenges as well as challenges associated with software development outsourcing and challenges related to working on large open source software. The present article compares the experiences gained from running a combined GSE and OSSD course against the experiences gained from running a traditional GSE course. The two alternatives are compared in terms of students’ learning outcomes and course organization. The authors found that a combined GSE and OSSD course provides learning opportunities that are partly overlapping with, and partly complementary to, a traditional GSE course. The authors also found that the combined OSSD and GSE course was somewhat easier to organize because most of the activities took place in a single university setting. The authors used the extended GSE taxonomy for the comparison and found it to be a useful tool for this, although it had some limitations in expressive power. Therefore, two additional relationship dimensions are proposed that will further enrich the extended taxonomy in classifying GSE (and OSSD) projects.",GSE Education; GSE Taxonomy; Global software engineering; OSS; Open Source Software Development; Software Development Outsourcing,,EC5,NO,,,,
Scopus,922,64,Implementation of an online pragmatic randomized controlled trial: A methodological case study,"Rigorous evaluation of eHealth interventions is acutely needed but can be challenging to execute in a cost- and time-efficient way. The purpose of this study is to describe a randomized controlled trial carried out as part of an approach that evaluates and informs product development throughout an intervention's life cycle. We present the methodological case of a pragmatic randomized controlled trial evaluating the effectiveness of the web-based intervention ""Daily Challenge."" We conducted the trial entirely online and leveraged existing resources to implement it quickly and within budget. One thousand five hundred three participants were recruited in 49 days (17.1 % of candidates assessed for eligibility). Then, 68.7 % of participants were reached for follow-up at 30 days and 62.5 % at 90 days. Data collection (baseline to 90-day follow-up) was completed within 5 months. Rigorous trials can be conducted efficiently and in a timely manner, enabling evaluation on a continuous basis. Development should include ongoing empirical input to inform product iterations. © 2013 The Author(s).",adult; article; female; follow up; health; human; male; methodology; online system; priority journal; randomized controlled trial (topic); telehealth; wellbeing,,EC4,NO,,,,
Scopus,939,65,Selecting working teams for information technology outsourcing projects through a combination of methodologies,"This paper deals with a problem that Information Technology outsourcing suppliers generally face when selecting a working team technically capable for specific roles in software development projects. A combination of methodologies, interactively integrated, is proposed. They are Soft System Methodology to structure the problem, Repertory Grid for individual interviews and elicitation of the selection criteria, DRV Processes to assess the candidates and to generate knowledge and consensus on the selection process and Linear Programming to assign people to each position. This multimethodology allowed finding a more comprehensive solution than that initially requested by the company, since it helped to establish the necessary transformations for the selection model to operate in the right way, set the competencies to be considered as selection criteria, develop a consensus estimate of the weighted criteria, and award global values to candidates, optimizing the assignment of roles in the group for the project. © 2017 Brazilian Operations Research Society.",,IC1; IC2,,YES,,,,
Scopus,944,66,Greedynas: Towards fast one-shot NAS with greedy supernet,"Training a supernet matters for one-shot neural architecture search (NAS) methods since it serves as a basic performance estimator for different architectures (paths). Current methods mainly hold the assumption that a supernet should give a reasonable ranking over all paths. They thus treat all paths equally, and spare much effort to train paths. However, it is harsh for a single supernet to evaluate accurately on such a huge-scale search space (e.g., 721). In this paper, instead of covering all paths, we ease the burden of supernet by encouraging it to focus more on evaluation of those potentially-good ones, which are identified using a surrogate portion of validation data. Concretely, during training, we propose a multi-path sampling strategy with rejection, and greedily filter the weak paths. The training efficiency is thus boosted since the training space has been greedily shrunk from all paths to those potentially-good ones. Moreover, we further adopt an exploration and exploitation policy by introducing an empirical candidate path pool. Our proposed method GreedyNAS is easy-to-follow, and experimental results on ImageNet dataset indicate that it can achieve better Top-1 accuracy under same search space and FLOPs or latency level, but with only ∼60% of supernet training cost. By searching on a larger space, our GreedyNAS can also obtain new state-of-the-art architectures. © 2020 IEEE",Computer science; Computers; Electrical engineering; Software engineering; Exploration and exploitation; Neural architectures; Performance estimator; Search spaces; State of the art; Training costs; Training efficiency; Validation data; Pattern recognition,,EC5,NO,,,,
ACM Digital Library,98,67,A Survey on IoT Programming Platforms: A Business-Domain Experts Perspective,"The vast growth and digitalization potential offered by the Internet of Things (IoT) is hindered by substantial barriers in accessibility, interoperability, and complexity, mainly affecting small organizations and non-technical entities. This survey article provides a detailed overview of the landscape of IoT programming platforms, focusing specifically on the development support they offer for varying end user profiles, ranging from developers with IoT expertise to business experts willing to take advantage of IoT solutions to automate their organization processes. The survey examines a range of IoT platforms, classified according to their programming approach between general-purpose programming solutions, model-driven programming, mashups, and end-user programming. Necessary IoT and programming backgrounds are described to empower non-technical readers with a comprehensive field summary. In addition, the article compares the features of the most representative platforms and provides decision insights and guidelines to support end users in selecting appropriate IoT platforms for their use cases. This work contributes to narrowing the knowledge gap between IoT specialists and end users, breaking accessibility barriers and further promoting the integration of IoT technologies in various domains.1",Internet of Things; IoT programming; IoT platforms; smart building; smart agriculture,,EC5,NO,,,,
